x1	x2	x3	x4	x5	x6	x7	x8	x9	x:	x;	x<	x=	x>	u1	u2	u3	u4	u5	u6	u7	u8	error	numIter	cpuTime	cpuTimeSearchDirection	cpuTimeLineSearch	cpuTimeKKTError
-0.000004	0.012752	-0.000121	0.029589	-0.000150	0.027606	0.000033	-0.001696	0.467177	-0.006441	1.038531	-0.006573	1.003623	0.001544	-0.013251	9.822366	0.063619	-1.684947	0.048162	0.093397	-0.000511	0.000793	0.000382	5.000000	594.176000	588.253999	0.000000	0.000000
-0.000006	0.013222	-0.000128	0.030634	-0.000156	0.028616	0.000035	-0.001827	0.474387	-0.006694	1.051565	-0.006722	1.017553	0.001573	-0.011860	9.832025	0.064203	-1.727404	0.048492	0.093686	-0.000518	0.000797	0.000381	5.000000	616.517000	610.313000	0.000000	0.000000
-0.000007	0.013700	-0.000135	0.031692	-0.000163	0.029641	0.000036	-0.001961	0.481498	-0.006949	1.064292	-0.006872	1.031161	0.001602	-0.010511	9.840861	0.064766	-1.768659	0.048810	0.093958	-0.000525	0.000801	0.000380	5.000000	579.983001	574.197999	0.000000	0.000000
-0.000009	0.014185	-0.000142	0.032763	-0.000170	0.030678	0.000038	-0.002099	0.488513	-0.007208	1.076719	-0.007022	1.044452	0.001630	-0.009200	9.848966	0.065311	-1.808761	0.049117	0.094217	-0.000532	0.000805	0.000379	5.000000	580.090000	574.332000	0.000000	0.000000
-0.000012	0.014677	-0.000149	0.033846	-0.000177	0.031729	0.000039	-0.002240	0.495432	-0.007470	1.088854	-0.007172	1.057434	0.001657	-0.007926	9.856422	0.065838	-1.847758	0.049413	0.094462	-0.000538	0.000809	0.000379	5.000000	580.468000	574.770000	0.000000	0.000000
-0.000014	0.015176	-0.000157	0.034940	-0.000185	0.032793	0.000041	-0.002385	0.502259	-0.007733	1.100702	-0.007322	1.070114	0.001684	-0.006685	9.863302	0.066350	-1.885692	0.049699	0.094696	-0.000545	0.000813	0.000379	5.000000	579.478000	573.782000	0.000000	0.000000
-0.000016	0.015682	-0.000165	0.036047	-0.000192	0.033869	0.000043	-0.002534	0.508996	-0.007999	1.112271	-0.007473	1.082497	0.001710	-0.005476	9.869668	0.066847	-1.922603	0.049977	0.094919	-0.000551	0.000817	0.000378	5.000000	580.020000	574.315000	0.000000	0.000000
-0.000019	0.016194	-0.000173	0.037165	-0.000200	0.034958	0.000045	-0.002686	0.515643	-0.008267	1.123566	-0.007624	1.094592	0.001736	-0.004298	9.875573	0.067332	-1.958528	0.050246	0.095132	-0.000557	0.000822	0.000377	5.000000	580.076000	574.312000	0.000000	0.000000
-0.000022	0.016713	-0.000181	0.038294	-0.000207	0.036058	0.000046	-0.002842	0.522204	-0.008537	1.134595	-0.007775	1.106403	0.001761	-0.003148	9.881064	0.067805	-1.993500	0.050507	0.095336	-0.000562	0.000826	0.000376	5.000000	624.284000	618.531001	0.000000	0.000000
-0.000025	0.017238	-0.000190	0.039434	-0.000215	0.037171	0.000048	-0.003001	0.528680	-0.008808	1.145363	-0.007927	1.117938	0.001786	-0.002026	9.886179	0.068267	-2.027551	0.050761	0.095531	-0.000568	0.000830	0.000373	5.000000	588.811000	583.068999	0.000000	0.000000
